FL_DATE,DEP_DEL15
20190101,21.149541079023955
20190102,25.085349562119635
20190103,19.202599546110996
20190104,13.429084380610412
20190105,15.94315865211656
20190106,19.80368610661515
20190107,14.216794813809738
20190108,10.249114141522602
20190109,9.553538639106028
20190110,13.62832752437238
20190111,14.459044454513418
20190112,12.671827038569331
20190113,15.4419595314164
20190114,14.118842051802947
20190115,13.524233862203868
20190116,11.41732283464567
20190117,17.028490461009056
20190118,19.332448708788405
20190119,17.41171211443898
20190120,19.59235668789809
20190121,25.512901861252114
20190122,21.353958559278496
20190123,24.417662000756636
20190124,27.740251765428308
20190125,21.546599496221663
20190126,12.623403975253389
20190127,16.03070056066627
20190128,16.97408990101152
20190129,13.73400365630713
20190130,19.27817420534293
20190131,21.33941826579425
