ORIGIN,DEP_DELAY_NEW,DEP_DEL15,n_flights,avg_delay,pct_delay_flight,origin_city,origin_lat,origin_long
JAC,43094.0,365.0,1604,26.866583541147133,22.75561097256858,,,
JAN,49496.0,546.0,3299,15.003334343740528,16.550469839345254,,,
JAX,173561.0,2097.0,14183,12.237255869703166,14.78530635267574,,,
JFK,749292.0,9309.0,52912,14.161097671605685,17.593362564257635,,,
JLN,5324.0,48.0,340,15.658823529411764,14.117647058823529,,,
JMS,16584.0,68.0,409,40.54767726161369,16.625916870415647,,,
JNU,13502.0,210.0,1613,8.370737755734655,13.019218846869189,,,
KOA,38318.0,605.0,6023,6.361945874149095,10.044828158724888,,,
KTN,7270.0,88.0,863,8.424101969872538,10.196987253765933,,,
LAN,26507.0,251.0,1422,18.640646976090014,17.651195499296765,,,
LAR,3348.0,29.0,259,12.926640926640927,11.196911196911197,,,
LAS,934836.0,14000.0,66762,14.00251640154579,20.970012881579343,,,
LAW,5924.0,78.0,541,10.950092421441774,14.417744916820702,,,
LAX,1185942.0,17068.0,89174,13.299190346962119,19.140108103258797,,,
LBB,32494.0,391.0,2835,11.461728395061728,13.791887125220459,,,
LBE,4859.0,49.0,500,9.718,9.8,,,
LBF,2991.0,19.0,259,11.548262548262548,7.335907335907336,,,
LBL,2021.0,28.0,259,7.803088803088803,10.81081081081081,,,
LCH,8876.0,91.0,814,10.904176904176904,11.179361179361178,,,
LCK,5981.0,93.0,365,16.386301369863013,25.47945205479452,,,
LEX,62716.0,655.0,3893,16.109940919599282,16.825070639609553,,,
LFT,28798.0,318.0,2066,13.939012584704743,15.392061955469508,,,
LGA,1247561.0,15713.0,71094,17.548049061805497,22.101724477452386,,,
LGB,53279.0,823.0,6192,8.604489664082687,13.291343669250647,,,
LIH,41168.0,581.0,5608,7.340941512125535,10.360199714693294,,,
LIT,65594.0,880.0,5624,11.663229018492176,15.647226173541965,,,
LNK,11346.0,115.0,746,15.20911528150134,15.415549597855227,,,
LRD,14837.0,149.0,1024,14.4892578125,14.55078125,,,
LSE,13841.0,113.0,849,16.30270906949352,13.30977620730271,,,
LWB,6391.0,50.0,258,24.771317829457363,19.379844961240313,,,
LWS,1265.0,17.0,356,3.553370786516854,4.775280898876404,,,
LYH,2311.0,32.0,312,7.407051282051282,10.256410256410255,,,
MAF,44922.0,551.0,3804,11.809148264984227,14.484752891692953,,,
MBS,12527.0,110.0,1040,12.045192307692307,10.576923076923077,,,
MCI,261162.0,3681.0,22553,11.579922848401543,16.321553673568925,,,
MCO,969555.0,12672.0,60674,15.97974420674424,20.88538748063421,,,
MDT,37193.0,384.0,2522,14.74742268041237,15.226011102299761,,,
MDW,552687.0,9424.0,33805,16.349267859784057,27.877532909332942,,,
MEI,18670.0,125.0,453,41.21412803532009,27.593818984547465,,,
