ORIGIN,DEP_DEL15,origin_lat,origin_long
ORD,6620.0,41.9786,-87.9048
ATL,4133.0,33.6367,-84.428101
DFW,4044.0,32.896801,-97.038002
LGA,3791.0,40.77719879,-73.87259674
DEN,3438.0,39.861698150635,-104.672996521
LAX,3047.0,33.94250107,-118.40799709999999
SFO,2977.0,37.61899948120117,-122.375
CLT,2689.0,35.2140007019043,-80.94309997558594
EWR,2544.0,40.69250106811523,-74.168701171875
BOS,2440.0,42.36429977,-71.00520325
