FL_DATE,DEP_DEL15
20190101,21.149541079023955
20190102,25.085349562119635
20190103,19.202599546110996
20190104,13.429084380610412
20190105,15.94315865211656
20190106,19.80368610661515
20190107,14.216794813809738
20190108,10.249114141522602
20190109,9.553538639106028
20190110,13.62832752437238
20190111,14.459044454513418
20190112,12.671827038569331
20190113,15.4419595314164
20190114,14.118842051802947
20190115,13.524233862203868
20190116,11.41732283464567
20190117,17.028490461009056
20190118,19.332448708788405
20190119,17.41171211443898
20190120,19.59235668789809
20190121,25.512901861252114
20190122,21.353958559278496
20190123,24.417662000756636
20190124,27.740251765428308
20190125,21.546599496221663
20190126,12.623403975253389
20190127,16.03070056066627
20190128,16.97408990101152
20190129,13.73400365630713
20190130,19.27817420534293
20190131,21.33941826579425
20190201,23.9201470438068
20190202,15.79343365253078
20190203,10.15865355613199
20190204,15.860881891358275
20190205,12.721080962320114
20190206,16.33023603545872
20190207,22.594789785916948
20190208,20.90321277025662
20190209,13.834855101230648
20190210,22.87865464937349
20190211,21.707279056476334
20190212,28.833590687730133
20190213,24.384512683578105
20190214,22.03305455993628
20190215,20.7827326810561
20190216,15.03582979263111
20190217,21.05907738963084
20190218,26.973453103828977
20190219,23.263619932868576
20190220,34.94691677209968
20190221,27.93901636022894
20190222,27.120663126023725
20190223,20.80672693936903
20190224,20.889106540428774
20190225,25.24311597911762
20190226,17.747953155767437
20190227,17.559322033898304
20190228,24.38614692949953
20190301,26.01473278291393
20190302,24.406964751562217
20190303,25.818719628142826
20190304,23.33000997008973
20190305,17.263221395535894
20190306,16.05121360423155
20190307,17.7073892095597
20190308,18.536955388043427
20190309,28.86633407878892
20190310,28.005937654626422
20190311,15.245551601423488
20190312,14.783077073744003
20190313,18.828974052311374
20190314,25.07075823029942
20190315,22.304248428272054
20190316,16.558018252933508
20190317,12.667785234899329
20190318,9.868858690487503
20190319,9.332221186399098
20190320,11.69650220734488
20190321,15.185729873333651
20190322,19.540830877459832
20190323,13.013698630136986
20190324,13.345521023765997
20190325,15.440508628519527
20190326,12.091519278820243
20190327,13.016548920932932
20190328,12.024475856180628
20190329,12.281282512059018
20190330,11.198461625473673
20190331,15.009631056452807
20190401,31.601566230541493
20190402,10.885527029024788
20190403,11.292444098017246
20190404,16.116937971619762
20190405,15.08506616257089
20190406,14.731752781499388
20190407,20.67182165093392
20190408,20.102182113355298
20190409,17.815043156596793
20190410,14.81202630125985
20190411,16.755488192441206
20190412,23.58312044658908
20190413,20.59366917108018
20190414,34.96157773120533
20190415,27.82954766064842
20190416,11.620012790869287
20190417,11.467190956008848
20190418,22.88441447430905
20190419,31.15504577925345
20190420,18.952526799387442
20190421,12.387571545380213
20190422,16.240850059031878
20190423,11.2975667538621
20190424,12.894840102020796
20190425,11.271936048436688
20190426,22.044370925367325
20190427,14.932627822555835
20190428,13.531336771122572
20190429,20.90757899738655
20190430,16.791308741788782
20190501,14.111455412916236
20190502,28.703703703703702
20190503,24.70844789987674
20190504,17.28643216080402
20190505,21.409574468085108
20190506,16.769108056115986
20190507,15.159417437512301
20190508,22.989993528152535
20190509,21.999714598297103
20190510,20.68076328004126
20190511,20.302074487443893
20190512,19.12274531477667
20190513,21.55545112781955
20190514,13.254184507590502
20190515,12.368509534559777
20190516,20.462600261145308
20190517,18.139123965405005
20190518,22.76467361492046
20190519,29.041028175976276
20190520,22.04564745826653
20190521,25.280235988200587
20190522,15.386809947220769
20190523,27.780402532363226
20190524,21.652302844963394
20190525,10.35581199663421
20190526,11.339124351425408
20190527,15.819010873377762
20190528,20.777937033559038
20190529,23.82638140680314
20190530,23.22599031062981
20190531,16.3868681216191
