ORIGIN,DEP_DELAY_NEW,origin_lat,origin_long
ORD,547764.0,41.9786,-87.9048
LGA,307657.0,40.77719879,-73.87259674
SFO,259420.0,37.61899948120117,-122.375
DFW,254221.0,32.896801,-97.038002
ATL,252758.0,33.6367,-84.428101
BOS,233889.0,42.36429977,-71.00520325
DEN,222825.0,39.861698150635,-104.672996521
LAX,214575.0,33.94250107,-118.40799709999999
EWR,212905.0,40.69250106811523,-74.168701171875
DTW,210937.0,42.212398529052734,-83.35340118408203
